USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.3  23504 14808 ?        Ss   15:49   0:04 /sbin/init splash --- auto automatic-ubiquity noprompt
gnome-r+    1836  0.0  0.4 512804 16672 ?        Ssl  15:49   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1838  0.0  0.2 384368 10792 ?        Ssl  15:49   0:00 /usr/lib/polkit-1/polkitd --no-debug
root        1841  0.0  0.1 322044  7572 ?        Ssl  15:49   0:00 /usr/libexec/power-profiles-daemon
root        1848  0.0  0.9 1992060 36984 ?       Ssl  15:49   0:03 /usr/lib/snapd/snapd
root        1853  0.0  0.2 321960  7952 ?        Ssl  15:49   0:00 /usr/libexec/accounts-daemon
root        1860  0.0  0.0  18092  2880 ?        Ss   15:49   0:00 /usr/sbin/cron -f -P
root        1861  0.0  0.1 318628  7224 ?        Ssl  15:49   0:00 /usr/libexec/switcheroo-control
root        1865  0.0  0.2  18160  8724 ?        Ss   15:49   0:00 /usr/lib/systemd/systemd-logind
root        1868  0.0  0.1 102120  5580 ?        Ssl  15:49   0:00 zed -F
avahi       1886  0.0  0.0   8476  1372 ?        S    15:49   0:00 avahi-daemon: chroot helper
root        1895  0.0  0.4 344980 19420 ?        Ssl  15:49   0:00 /usr/sbin/NetworkManager --no-daemon
root        1899  0.0  0.1  17376  6240 ?        Ss   15:49   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1917  0.0  0.1 222564  6472 ?        Ssl  15:49   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1930  0.0  0.3 469456 14016 ?        Ssl  15:49   0:00 /usr/libexec/udisks2/udisksd
root        1961  0.0  0.3 318296 13104 ?        Ssl  15:49   0:00 /usr/sbin/ModemManager
root        2125  0.0  0.3  46908 11880 ?        Ss   15:49   0:00 /usr/sbin/cupsd -l
root        2135  0.0  0.5 120908 20920 ?        Ssl  15:49   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
cups-br+    2472  0.0  0.5 268384 19900 ?        Ssl  15:49   0:00 /usr/sbin/cups-browsed
kernoops    2475  0.0  0.0  12744  2312 ?        Ss   15:49   0:00 /usr/sbin/kerneloops --test
kernoops    2480  0.0  0.0  12744  2372 ?        Ss   15:49   0:00 /usr/sbin/kerneloops
root        2540  0.0  0.2 323484  9500 ?        Ssl  15:49   0:00 /usr/sbin/gdm3
root        2573  0.0  0.2 250928 10148 ?        Sl   15:49   0:00 gdm-session-worker [pam/gdm-autologin]
ubuntu      2617  0.0  0.3  21604 13048 ?        Ss   15:49   0:01 /usr/lib/systemd/systemd --user
ubuntu      2618  0.0  0.0  21460  3592 ?        S    15:49   0:00 (sd-pam)
ubuntu      2668  0.0  0.3 124292 14812 ?        Ssl  15:49   0:03 /usr/bin/pipewire
ubuntu      2670  0.0  0.1 106404  5976 ?        Ssl  15:49   0:00 /usr/bin/pipewire -c filter-chain.conf
ubuntu      2672  0.0  0.4 415756 19216 ?        Ssl  15:49   0:00 /usr/bin/wireplumber
ubuntu      2673  0.0  0.3 125052 15056 ?        Ssl  15:49   0:00 /usr/bin/pipewire-pulse
ubuntu      2674  0.0  0.2 325152  9812 ?        Ssl  15:49   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
ubuntu      2679  0.0  0.1  10652  6216 ?        Ss   15:49   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
rtkit       2684  0.0  0.0  88476  3420 ?        SNsl 15:49   0:00 /usr/libexec/rtkit-daemon
ubuntu      2699  0.0  0.1 244380  6264 tty2     Ssl+ 15:49   0:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
ubuntu      2703  0.9  2.3 374332 94320 tty2     Sl+  15:49   0:41 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
ubuntu      3043  0.0  0.4 306876 16884 tty2     Sl+  15:50   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
ubuntu      3156  0.0  0.2 382992  8216 ?        Ssl  15:50   0:00 /usr/libexec/at-spi-bus-launcher
ubuntu      3167  0.0  0.1   9608  5056 ?        S    15:50   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
ubuntu      3307  0.0  0.1 162652  7020 ?        Ssl  15:50   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
ubuntu      3308  0.0  0.1 100216  5676 ?        Ssl  15:50   0:00 /usr/libexec/gnome-session-ctl --monitor
ubuntu      3326  0.0  0.2 322940  8216 ?        Ssl  15:50   0:00 /usr/libexec/gvfsd
ubuntu      3336  0.0  0.1 468380  7084 ?        Sl   15:50   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
ubuntu      3370  0.0  0.4 742196 18440 ?        Ssl  15:50   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
ubuntu      3397  1.2  6.4 3809704 255908 ?      Ssl  15:50   0:58 /usr/bin/gnome-shell
ubuntu      3431  0.0  2.1 730064 86728 ?        Sl   15:50   0:00 /usr/libexec/mutter-x11-frames
ubuntu      3435  0.0  0.2 236048  8328 ?        Sl   15:50   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
colord      3436  0.0  0.3 328844 14756 ?        Ssl  15:50   0:00 /usr/libexec/colord
ubuntu      3474  0.0  0.1 317976  6452 ?        Ssl  15:50   0:00 /usr/libexec/xdg-permission-store
ubuntu      3475  0.0  0.4 654752 18000 ?        Sl   15:50   0:00 /usr/libexec/gnome-shell-calendar-server
ubuntu      3495  0.0  2.2 1374656 90008 ?       Ssl  15:50   0:00 /usr/libexec/evolution-source-registry
ubuntu      3504  0.0  0.1 230232  6116 ?        Ssl  15:50   0:00 /usr/libexec/dconf-service
ubuntu      3512  0.0  0.6 2745012 27288 ?       Sl   15:50   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
root        3514  0.0  0.2 325272  9128 ?        Ssl  15:50   0:00 /usr/libexec/upowerd
ubuntu      3529  0.0  0.3 398588 13344 ?        Ssl  15:50   0:03 /usr/bin/ibus-daemon --panel disable --xim
ubuntu      3537  0.0  0.1 392244  6736 ?        Ssl  15:50   0:00 /usr/libexec/gsd-a11y-settings
ubuntu      3540  0.0  0.6 424184 25520 ?        Ssl  15:50   0:00 /usr/libexec/gsd-color
ubuntu      3541  0.0  0.3 440392 12456 ?        Ssl  15:50   0:00 /usr/libexec/gsd-datetime
ubuntu      3543  0.0  0.2 467596  8196 ?        Ssl  15:50   0:00 /usr/libexec/gsd-housekeeping
ubuntu      3544  0.0  0.6 423048 25032 ?        Ssl  15:50   0:00 /usr/libexec/gsd-keyboard
ubuntu      3545  0.0  0.7 605360 30556 ?        Ssl  15:50   0:00 /usr/libexec/gsd-media-keys
ubuntu      3546  0.0  0.7 608488 29064 ?        Ssl  15:50   0:00 /usr/libexec/gsd-power
ubuntu      3551  0.0  0.2 332312 11776 ?        Ssl  15:50   0:00 /usr/libexec/gsd-print-notifications
ubuntu      3552  0.0  0.1 539752  7004 ?        Ssl  15:50   0:00 /usr/libexec/gsd-rfkill
ubuntu      3553  0.0  0.1 318228  6476 ?        Ssl  15:50   0:00 /usr/libexec/gsd-screensaver-proxy
ubuntu      3558  0.0  0.2 551920 11876 ?        Ssl  15:50   0:00 /usr/libexec/gsd-sharing
ubuntu      3559  0.0  0.2 468276  8340 ?        Ssl  15:50   0:00 /usr/libexec/gsd-smartcard
ubuntu      3562  0.0  0.2 402364  9800 ?        Ssl  15:50   0:00 /usr/libexec/gsd-sound
ubuntu      3563  0.0  0.6 423684 25520 ?        Ssl  15:50   0:00 /usr/libexec/gsd-wacom
ubuntu      3565  0.0  0.6 425384 27544 ?        Ssl  15:50   0:00 /usr/libexec/gsd-xsettings
ubuntu      3606  0.0  0.1 305492  7476 ?        Sl   15:50   0:00 /usr/libexec/gsd-disk-utility-notify
ubuntu      3611  0.0  0.6 555376 24252 ?        Sl   15:50   0:00 /usr/libexec/goa-daemon
ubuntu      3619  0.0  2.7 989088 108024 ?       Sl   15:50   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
ubuntu      3694  0.0  0.2 398048 10464 ?        Ssl  15:50   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
ubuntu      3699  0.0  0.2 397796  9632 ?        Sl   15:50   0:00 /usr/libexec/goa-identity-service
ubuntu      3714  0.0  0.3 424872 15200 ?        Sl   15:50   0:00 /usr/libexec/gsd-printer
ubuntu      3760  0.0  0.6 899508 25036 ?        Ssl  15:50   0:00 /usr/libexec/evolution-calendar-factory
ubuntu      3769  0.0  0.1 318460  6572 ?        Ssl  15:50   0:00 /usr/libexec/gvfs-mtp-volume-monitor
ubuntu      3783  0.0  0.1 319428  7004 ?        Ssl  15:50   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
ubuntu      3792  0.0  0.1 318440  6864 ?        Ssl  15:50   0:00 /usr/libexec/gvfs-goa-volume-monitor
ubuntu      3801  0.0  0.7 834056 30404 ?        Ssl  15:50   0:00 /usr/libexec/evolution-addressbook-factory
ubuntu      3806  0.0  0.1 245008  6572 ?        Ssl  15:50   0:00 /usr/libexec/gvfsd-metadata
